car_park_no,address,latitude,longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
A1,BLK 215 ANG MO KIO STREET 22,1.3667144,103.84171,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A10,BLK 201/202 ANG MO KIO STREET 22,1.368633,103.84452,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A100,BLK 650 ANG MO KIO STREET 61,1.3779875,103.842606,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N
A11,BLK 223/226/226A-226D ANG MO KIO ST 22,1.3670355,103.83818,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A12,BLK 229/230 ANG MO KIO ST 22,1.3685098,103.83868,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A13,BLK 232/233 ANG MO KIO ST 22,1.3680003,103.83681,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A15,BLK 226E-226H ANG MO KIO ST 22,1.3669676,103.840416,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A2,BLK 206/207 ANG MO KIO STREET 22,1.366237,103.84305,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A20,BLK 304/307/319 ANG MO KIO ST 31,1.3649434,103.84846,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A21,BLK 325/326/301 ANG MO KIO STREET 31,1.3681276,103.84631,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A23,BLK 347A ANG MO KIO AVENUE 3,1.3673354,103.848915,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N
A24,BLK 338/340 ANG MO KIO ST 32,1.3647534,103.849396,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A25,BLK 330/337 ANG MO KIO AVE 8,1.3627694,103.85163,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A26,BLK 113/114/118 ANG MO KIO AVE 4,1.3727702,103.83545,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A27,BLK 108/109/110 ANG MO KIO ST 11,1.370363,103.83832,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A28,BLK 103/105/107 ANG MO KIO ST 11,1.37165,103.83746,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A29,BLK 347 ANG MO KIO AVENUE 3,1.3672262,103.84872,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A30,BLK 129/134 ANG MO KIO STREET 12,1.3709898,103.84242,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A30A,BLK 133 ANG MO KIO STREET 12,1.3702182,103.84276,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A31,BLK 119/128 ANG MO KIO ST 12,1.3704511,103.8437,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A31A,BLK 125/126 ANG MO KIO STREET 12,1.3718593,103.84366,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A33,BLK 253/254 ANG MO KIO STREET 21,1.370021,103.834694,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
A34,BLK 422/425 ANG MO KIO ST 42,1.3683565,103.85167,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A35,BLK 426/428/435 ANG MO KIO ST 43,1.3686464,103.85408,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A36,BLK 436/443/445 ANG MO KIO ST 43,1.3664072,103.85528,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A37,BLK 446/449/453 ANG MO KIO ST 43,1.368113,103.85556,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A38,BLK 407/410/421 ANG MO KIO AVE 10,1.3639637,103.85459,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A39,BLK 401/405 ANG MO KIO AVE 10,1.361151,103.85407,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A4,BLK 217/220 ANG MO KIO AVENUE 1,1.3656917,103.841194,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A40,BLK 471/476 ANG MO KIO ST 44,1.3623562,103.85698,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A41,BLK 466/470 ANG MO KIO ST 44,1.364937,103.85693,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A42,BLK 461/465 ANG MO KIO ST 44,1.3665801,103.85736,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A43,BLK 457/458/460 ANG MO KIO ST 44,1.3659967,103.85927,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
